Tool,Range,Count
APERTURE,1.0,1.0
APERTURE,2.0,0
APERTURE,3.0,0
APERTURE,4.0,0
APERTURE,5.0,1.0
APERTURE,6.0,1.0
APERTURE,7.0,1.0
APERTURE,8.0,0
APERTURE,9.0,0
APERTURE,10.0,0
GeoMap,1.0,0
GeoMap,2.0,1.0
GeoMap,3.0,0
GeoMap,4.0,0
GeoMap,5.0,3.0
GeoMap,6.0,1.0
GeoMap,7.0,0
GeoMap,8.0,0
GeoMap,9.0,0
GeoMap,10.0,0
GeoMen,1.0,0
GeoMen,2.0,1.0
GeoMen,3.0,0
GeoMen,4.0,1.0
GeoMen,5.0,1.0
GeoMen,6.0,0
GeoMen,7.0,0
GeoMen,8.0,0
GeoMen,9.0,0
GeoMen,10.0,0
Influent,1.0,0
Influent,2.0,1.0
Influent,3.0,1.0
Influent,4.0,0
Influent,5.0,1.0
Influent,6.0,0
Influent,7.0,0
Influent,8.0,0
Influent,9.0,0
Influent,10.0,0
LineUP,1.0,0
LineUP,2.0,0
LineUP,3.0,0
LineUP,4.0,1.0
LineUP,5.0,0
LineUP,6.0,0
LineUP,7.0,0
LineUP,8.0,0
LineUP,9.0,0
LineUP,10.0,0
NEON,1.0,0
NEON,2.0,1.0
NEON,3.0,0
NEON,4.0,0
NEON,5.0,0
NEON,6.0,2.0
NEON,7.0,0
NEON,8.0,0
NEON,9.0,0
NEON,10.0,0
NEWMAN,1.0,0
NEWMAN,2.0,0
NEWMAN,3.0,0
NEWMAN,4.0,0
NEWMAN,5.0,0
NEWMAN,6.0,1.0
NEWMAN,7.0,0
NEWMAN,8.0,0
NEWMAN,9.0,0
NEWMAN,10.0,0
TrackCom,1.0,0
TrackCom,2.0,0
TrackCom,3.0,0
TrackCom,4.0,1.0
TrackCom,5.0,0
TrackCom,6.0,4.0
TrackCom,7.0,0
TrackCom,8.0,0
TrackCom,9.0,0
TrackCom,10.0,0
